Index,Title,Description,Link
1,Blood Cell Segmentation Dataset,"A total of 2656 images are available. 1328 Original blood cell images with 1328 corresponding ground truths. Out of that, Jeet B Lahiri separated the training and testing sets with 1169 images and 159 images respectively",https://www.kaggle.com/datasets/jeetblahiri/bccd-dataset-with-mask
3,Blood Cell Images,"This dataset contains 12,500 augmented images of blood cells (JPEG) with accompanying cell type labels (CSV). There are approximately 3,000 images for each of 4 different cell types grouped into 4 different folders (according to cell type). The cell types are Eosinophil, Lymphocyte, Monocyte, and Neutrophil. This dataset is accompanied by an additional dataset containing the original 410 images (pre-augmentation) as well as two additional subtype labels (WBC vs WBC) and also bounding boxes for each cell in each of these 410 images (JPEG + XML metadata)",https://www.kaggle.com/datasets/paultimothymooney/blood-cells
5,Berkeley Single-Cell Computational Microscopy (BSCCM) dataset,"the Berkeley Single Cell Computational Microscopy (BSCCM) dataset, which contains over 400,000 images of individual white blood cells. The dataset contains images captured with multiple illumination patterns on an LED array microscope and fluorescent measurements of the abundance of surface proteins that mark different cell types.",https://datadryad.org/dataset/doi:10.5061/dryad.sxksn038s (or) https://github.com/Waller-Lab/BSCCM
6,draaslaan blood cell detection,This dataset contains annotated red blood cells(RBC) and white blood cells(WBC) from peripheral blood smear taken from a light microscope.,https://huggingface.co/datasets/draaslan/blood-cell-detection
7,Auralin Blood Cell Classification,"This project focuses on the classification of blood cells using a convolutional neural network (CNN) model implemented with TensorFlow. The datasets used in this project are BCCD Dataset, Complete Blood Count (CBC) Dataset, and PBC_dataset_Normal_DIB",https://github.com/official-Auralin/Blood-Cell-Classification
8,GTS Blood Cell Detection Dataset,"The Blood Cell Detection Dataset is a comprehensive collection of high-resoultion images. This dataset includes a wide variety of blood cell types such as RBC, WBC and Platelets. Each image is meticuluously annotated with bounding boxes, and labels, ensuring precise identification and classification, or different blood cells.",https://gts.ai/dataset-download/blood-cell-detection-datatset/
9,images.cv Blood cell Labeled Image DatasetBlood cell Labeled Image Dataset,"This dataset is can be used for image classification, object detection, image segmentation and other computer vision tasks, like image recognition and image generation",https://images.cv/dataset/blood-cell-image-classification-dataset
10,Deponker Blood Cell Segmentation Dataset,"With the advent of deep learing algorithms in medial domain, there is a need for quality and large datasets. In this work, we introduced the largest microscopic blood cell segmentation dataset and benchmark different state-of-the-art algorithms on it.",https://github.com/Deponker/Blood-cell-segmentation-dataset
11,Mahmudul Alam Complete Blood Cell Count Dataset,"The complete blood count (CBC) dataset contains 360 blood smear images along with their annotation files splitting into Training, Testing, and Validation sets. The training folder contains 300 images with annotations. The testing and validation folder both contain 60 images with annotations. we clear up all the fallacious files and split the dataset into three parts. Among the 360 smear images, 300 blood cell images with annotations are used as the training set first, and then the rest of the 60 images with annotations are used as the testing set. Due to the shortage of the data, a subset of the training set is used to prepare the validation set which contains 60 images with annotations.",https://github.com/MahmudulAlam/Complete-Blood-Cell-Count-Dataset
12,springernature A large-scale high-resolution WBC image dataset,"The dataset comprises 16 027 single cell images of normal and pathological white blood cells, including neutrophil segments, neutrophil bands, eosinophiles, basophiles, lymphocytes, monocytes, normoblasts and blast cells of myeloid and lymphoid lineage.",https://springernature.figshare.com/articles/dataset/A_large-scale_high-resolution_WBC_image_dataset/22680517?file=40260787
13,ScienceDirect A dataset of microscopic peripheral blood cell images for development of automatic recognition systems,"The dataset contains a total of 17,092 images of individual normal cells, which were acquired using the analyzer CellaVision DM96 in the Core Laboratory at the Hospital Clinic of Barcelona. The dataset is organized in the following eight groups: neutrophils, eosinophils, basophils, lymphocytes, monocytes, immature granulocytes (promyelocytes, myelocytes, and metamyelocytes), erythroblasts and platelets or thrombocytes. The size of the images is 360 × 363 pixels, in format jpg, and they were annotated by expert clinical pathologists.",https://www.sciencedirect.com/science/article/pii/S2352340920303681
14,Raabin WBC First microscope Images Dataset,"Note that the images of each blood film are placed in separate folders. Corresponding to each microscopic image, a dictionary (.json format) file containing the following information about that image was provided:",http://dl.raabindata.com/WBC/First_microscope/
15,Raabin WBC Second microscope Images Dataset,"Note that the images of each blood film are placed in separate folders. Corresponding to each microscopic image, a dictionary (.json format) file containing the following information about that image was provided:",http://dl.raabindata.com/WBC/Second_microscope/
16,Thalassemia PBS UGM mendeley dataset,"The ThalassemiaPBS dataset is a peripheral blood smear images collected from four thalassemia patients. At present, it is infrequent for a public dataset to relate to microscopic images of thalassemia's peripheral blood smear. Therefore, this dataset will be a source of data for computer application researchers related to thalassemia",https://data.mendeley.com/datasets/gd9ysj73jd/1
17,RBC dataset UGM mendeley dataset,The RBCdataset is a single erythrocyte dataset collected from thalassemia's peripheral blood smear. This dataset will be a source of data for computer application researchers related to RBC classification in thalassemia cases.,https://data.mendeley.com/datasets/rfdz6wfzn4/1
18,Zenodo Red Blood Cell RedTell Dataset,The dataset contains microscopic images of red blood cells (RBCs) and consists of two parts:,https://zenodo.org/records/7801430
19,Roboflow BCCD Dataset,"This is a dataset of blood cells photos, originally open sourced by cosmicad and akshaylambda.",https://public.roboflow.com/object-detection/bccd
